date,energy_mwh,fuel,percentage
2020-12-28 19:00:00,148,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.0013088889478478
2020-12-28 19:00:00,15790,ΛΙΓΝΙΤΗΣ,0.1396443005845781
2020-12-28 19:00:00,113073,ΣΥΝΟΛΟ,1.0
2020-12-28 19:00:00,4299,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0380196863972831
2020-12-29 19:00:00,41009,ΑΕΡΙΟ,0.3621487486532789
2020-12-29 19:00:00,51421,ΑΙΟΛΙΚΑ,0.4540966813260566
2020-12-29 19:00:00,1636,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.0144474469700983
2020-12-29 19:00:00,14651,ΛΙΓΝΙΤΗΣ,0.1293823628110705
2020-12-29 19:00:00,113238,ΣΥΝΟΛΟ,1.0
2020-12-29 19:00:00,4521,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0399247602394955
2020-12-30 19:00:00,51765,ΑΕΡΙΟ,0.437655354334703
2020-12-30 19:00:00,45335,ΑΙΟΛΙΚΑ,0.3832919055107459
2020-12-30 19:00:00,1500,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.0126819865063663
2020-12-30 19:00:00,14550,ΛΙΓΝΙΤΗΣ,0.1230152691117536
2020-12-30 19:00:00,118278,ΣΥΝΟΛΟ,1.0
2020-12-30 19:00:00,5128,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0433554845364311
2020-12-31 19:00:00,52541,ΑΕΡΙΟ,0.5276896191547485
2020-12-31 19:00:00,12000,ΑΙΟΛΙΚΑ,0.1205206492045637
2020-12-31 19:00:00,13377,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.1343503937007874
2020-12-31 19:00:00,15216,ΛΙΓΝΙΤΗΣ,0.1528201831913868
2020-12-31 19:00:00,99568,ΣΥΝΟΛΟ,1.0
2020-12-31 19:00:00,6434,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0646191547485135
2021-01-02 19:00:00,39954,ΑΕΡΙΟ,0.3652870347513645
2021-01-02 19:00:00,40487,ΑΙΟΛΙΚΑ,0.3701600885012388
2021-01-02 19:00:00,4914,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.0449271784744507
2021-01-02 19:00:00,14480,ΛΙΓΝΙΤΗΣ,0.1323861506532452
2021-01-02 19:00:00,109377,ΣΥΝΟΛΟ,1.0
2021-01-02 19:00:00,9542,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0872395476197006
2021-01-04 19:00:00,59567,ΑΕΡΙΟ,0.4893169589682507
2021-01-04 19:00:00,26695,ΑΙΟΛΙΚΑ,0.21928779726455
2021-01-04 19:00:00,5573,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.0457797675278268
2021-01-04 19:00:00,14645,ΛΙΓΝΙΤΗΣ,0.1203022959707561
2021-01-04 19:00:00,121735,ΣΥΝΟΛΟ,1.0
2021-01-04 19:00:00,15255,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.1253131802686162
2021-01-05 19:00:00,66923,ΑΕΡΙΟ,0.5669038542990258
2021-01-05 19:00:00,28554,ΑΙΟΛΙΚΑ,0.2418805590851334
2021-01-05 19:00:00,-5978,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),-0.0506395595086827
2021-01-05 19:00:00,14634,ΛΙΓΝΙΤΗΣ,0.1239644218551461
2021-01-05 19:00:00,118050,ΣΥΝΟΛΟ,1.0
2021-01-05 19:00:00,13917,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.1178907242693773
2021-01-06 19:00:00,59567,ΑΕΡΙΟ,0.4893169589682507
2021-01-06 19:00:00,26695,ΑΙΟΛΙΚΑ,0.21928779726455
2021-01-06 19:00:00,5573,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.0457797675278268
2021-01-06 19:00:00,14645,ΛΙΓΝΙΤΗΣ,0.1203022959707561
2021-01-06 19:00:00,121735,ΣΥΝΟΛΟ,1.0
2021-01-06 19:00:00,15255,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.1253131802686162
2021-01-07 19:00:00,62241,ΑΕΡΙΟ,0.5077747683070095
2021-01-07 19:00:00,55447,ΑΙΟΛΙΚΑ,0.4523479310794935
2021-01-07 19:00:00,-19403,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),-0.1582936300744028
2021-01-07 19:00:00,14558,ΛΙΓΝΙΤΗΣ,0.1187671322281686
2021-01-07 19:00:00,122576,ΣΥΝΟΛΟ,1.0
2021-01-07 19:00:00,9733,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0794037984597311
2021-01-08 19:00:00,56942,ΑΕΡΙΟ,0.5042506464524813
2021-01-08 19:00:00,42880,ΑΙΟΛΙΚΑ,0.3797244164216641
2021-01-08 19:00:00,-11780,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),-0.1043179483546456
2021-01-08 19:00:00,14614,ΛΙΓΝΙΤΗΣ,0.1294144734511707
2021-01-08 19:00:00,112924,ΣΥΝΟΛΟ,1.0
2021-01-08 19:00:00,10268,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0909284120293294
2021-01-09 19:00:00,49750,ΑΕΡΙΟ,0.4590838623948028
2021-01-09 19:00:00,38241,ΑΙΟΛΙΚΑ,0.3528809242580836
